STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
C202302021054203m065742,,,,C202302021054203m065742,,163.58439084820972,-6.9617115948372845
A202302021054233m061944,,,,A202302021054233m061944,,163.59697955314994,-6.328875392018079
T202302141054436m052209,,,,T202302141054436m052209,,163.6815163725347,-5.369046867374803
T202212191054502m075727,,,T202212191054502m075727,,,163.70936611407097,-7.957412451183993
T202303131054541m054553,,,,T202303131054541m054553,,163.7255452359111,-5.764615881333312
A202302171054547m051824,,,,A202302171054547m051824,,163.72808237915098,-5.306800309002254
C202212191054549m073542,,,C202212191054549m073542,,,163.72880402654866,-7.594895410603148
A202212191054561m070933,,,A202212191054561m070933,,,163.7335753672228,-7.159115913036064
T202301031055024m074329,,,T202301031055024m074329,T202302021055025m074329,,163.76018598233657,-7.724653888803804
C202302141055096m064720,,,,C202302141055096m064720,,163.7899416731792,-6.788750237240331
T202212131055104m061545,,,T202212131055104m061545,,,163.79346385750276,-6.262447606235464
C202312201055138m080244,,,,C202312201055138m080244,,163.8076679775726,-8.045598917833962
A202302141055183m052715,,,,A202302141055183m052715,,163.8261377204215,-5.454130606863984
C202401131055293m062158,,,,C202401131055293m062158,,163.87213791115016,-6.366117592761273
C202312201055387m081140,,,,C202312201055387m081140,,163.9113957386571,-8.194506324575721
C202303161055390m052641,,,,C202303161055390m052641,,163.9126521266506,-5.444681805940582
C202212221055530m052824,,,C202212221055530m052824,C202302021055530m052824,,163.9706529117901,-5.473459139234483
T202303221055531m081207,,,,T202303221055531m081207,,163.9714580191825,-8.201956962460438
T202301181055583m061925,,,T202301181055583m061925,T202302021055583m061926,,163.9928473987116,-6.323764727677293
A202301031056136m070214,,,A202301031056136m070214,,,164.05682194717548,-7.037296360974102
T202401041056352m053529,,,,T202401041056352m053529,,164.1467741723051,-5.591353544675133
C202212191056390m061941,,,C202212191056390m061941,,,164.1625701629438,-6.327962121533628
T202212191056395m070921,,,T202212191056395m070921,,,164.16449673089863,-7.155956965374871
T202303221056478m045858,,,,T202303221056478m045858,,164.19901500262782,-4.982869659584103
T202312141056498m052821,,,,T202312141056498m052821,,164.20751357131326,-5.472405437473104
C202312201056501m054651,,,,C202312201056501m054651,,164.2086038515382,-5.780801285123029
