,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
531,T202302081252283p055222,,,,T202302081252283p055222,,193.11774070950128,5.872658663555825,,,,N
532,T202204241252333p052245,,T202204241252333p052245,,,,193.1388480913906,5.3792547506495225,,,,N
533,T202204211252343p075935,,T202204211252343p075935,,,,193.14279217144784,7.993100178102352,,,,N
534,A202401071252377p062543,,A202401071252377p062543,,,,193.15699709027427,6.4285914015562495,,,,N
535,C202207011252571p074922,,C202207011252571p074922,,,,193.237908369876,7.822680172686398,,,,N
536,T202401071252587p073023,,T202401071252587p073023,,,,193.24476177664044,7.50636817496226,0.053484505151428094,7.499288016760132e-06,GALAXY,Y
537,C202302171253025p060835,,,,C202302171253025p060835,,193.2603893692537,6.1429373869809725,0.34177872008176724,9.546271623575445e-05,GALAXY,Y
538,C202305121253030p074117,,,,C202305121253030p074117,,193.2626481556336,7.6880024177606865,,,,N
539,T202205301253070p074352,,T202205301253070p074352,,,,193.2793059764463,7.731086513944595,0.7494058378226792,0.00023419201857439784,GALAXY,Y
540,T202401071253105p063628,,T202401071253105p063628,,,,193.2936724884564,6.607828156349852,0.29473690072904707,7.908924583345966e-05,GALAXY,Y
541,A202303221253120p075148,,,,A202303221253120p075148,,193.29995479044308,7.863446752567077,0.7499923451710764,6.482011740575635e-05,GALAXY,Y
542,T202304031253194p070254,,,,T202304031253194p070254,,193.331015618521,7.048381292781513,,,,N
543,C202302171253291p052742,,,,C202302171253291p052742,,193.37115648861385,5.461644314362284,0.35748143233673646,3.640797745250353e-05,QSO,Y
544,C202205181253304p060311,,C202205181253304p060311,,,,193.37670667945176,6.053160900200663,,,,N
545,C202303011253385p064956,,,,C202303011253385p064956,,193.41060577327968,6.832201190827386,,,,N
546,T202204211253407p055204,,T202204211253407p055204,,,,193.41964901238384,5.867753702156116,,,,N
547,T202401071253442p061533,,T202401071253442p061533,,,,193.43404712713885,6.259090268313508,,,,N
548,T202204211254175p053541,,T202204211254175p053541,,,,193.57310852512103,5.594759797584575,0.24526822450178695,1.0505241741712021e-05,GALAXY,Y
549,A202205301254245p065527,,A202205301254245p065527,,,,193.6018904393449,6.924224847589213,,,,N
550,T202305121254265p063518,,,,T202305121254265p063518,,193.61040671383,6.5883262181423525,,,,N
551,T202206081254311p050941,,T202206081254311p050941,,,,193.62947975652267,5.1613736991185055,,,,N
552,T202204211254314p050954,,T202204211254314p050954,,,,193.63072016458992,5.165124265381063,,,,N
553,T202205181254445p074026,,T202205181254445p074026,,,,193.6854144458612,7.673786612781409,0.16752995909508384,4.093279408153246e-05,GALAXY,Y
554,C202204211254532p050334,,C202204211254532p050334,,,,193.72168863251468,5.059415863012077,0.24519978499484993,1.9148086491400925e-05,QSO,Y
555,C202204211254561p063528,,C202204211254561p063528,,,,193.73395057907743,6.591189118010994,,,,N
556,T202204211255143p073811,,T202204211255143p073811,,,,193.80978460624144,7.636318134026094,0.08943715833615817,1.0091765291891384e-05,GALAXY,Y
557,C202302171255204p065303,,,,C202302171255204p065303,,193.8350696077496,6.884219623587298,0.5430017531554618,0.00010810221243361474,QSO,Y
558,A202204211255309p073051,,A202204211255309p073051,,A202302171255309p073051,,193.8787984318313,7.514081362334011,,,,N
559,T202401101255316p064159,,T202401101255316p064159,,,,193.8814791531864,6.69970818258391,0.10780307327767387,1.0546846883456156e-05,GALAXY,Y
560,T202204211255347p052326,,T202204211255347p052326,,,,193.89449568670213,5.390627592014222,,,,N
561,C202303221255591p070957,,,,C202303221255591p070957,,193.9961849879984,7.165804964153807,,,,N
562,T202302081256245p051035,,,,T202302081256245p051035,,194.10208000161185,5.176522227096061,,,,N
563,T202302081256346p073627,,,,T202302081256346p073627,,194.1443516257444,7.607376312998892,0.30323552432223116,1.2642459939169477e-05,GALAXY,Y
564,T202205181256398p052743,,T202205181256398p052743,,,,194.16581843278743,5.461925058585651,,,,N
565,A202302171256458p055514,,,,A202302171256458p055514,,194.19076777686,5.920576797510844,0.661657415544662,0.0001025831367123946,QSO,Y
566,A202204211256473p055357,,A202204211256473p055357,,,,194.19725261587013,5.8991635811624805,-0.00011737036278901465,2.8331864482219317e-05,STAR,Y
567,C202302261256482p050508,,,,C202302261256482p050508,,194.20094632849097,5.085673978948936,,,,N
568,A202204241256512p063338,,A202204241256512p063338,,,,194.21322900465904,6.560471303917288,,,,N
569,C202401071256525p045627,,C202401071256525p045627,,,,194.21887266808216,4.940851312672387,,,,N
570,T202401071257034p055258,,T202401071257034p055258,,,,194.26425109751784,5.882794999255483,,,,N
571,C202302171257035p051857,,,,C202302171257035p051857,,194.2645497362008,5.315761794534959,0.1754629619431559,2.7271227449592964e-05,GALAXY,Y
572,C202207011257067p045847,,C202207011257067p045847,,,,194.27772789612004,4.979755451307495,,,,N
573,A202401011257110p070510,,A202401011257110p070510,,,,194.2957603429371,7.086131460068287,,,,N
574,T202204241257221p071551,,T202204241257221p071551,,,,194.342241606424,7.26424578289822,,,,N
575,C202204211257235p063531,,C202204211257235p063531,,,,194.3480892237636,6.591907159141528,0.21456142017922297,1.386595085652504e-05,QSO,Y
576,A202205031257319p071445,,A202205031257319p071445,,,,194.38281884390824,7.245713480825938,,,,N
577,T202305121257327p063440,,,,T202305121257327p063440,,194.3862459690069,6.577813181900091,0.09308843024996855,5.002836441541448e-06,GALAXY,Y
578,T202207011257405p071316,,T202207011257405p071316,,,,194.4187286607369,7.221219180785902,,,,N
579,C202302081257413p072657,,,,C202302081257413p072657,,194.42201261777203,7.4491258255901265,0.25138532276651526,2.598323957032109e-05,GALAXY,Y
580,T202303311257436p051636,,,,T202303311257436p051636,,194.4317273513228,5.276613708239829,,,,N
581,T202302171257472p051934,,,,T202302171257472p051934,,194.4466305992761,5.3261925704071125,0.2633671332800986,9.608605887516843e-05,GALAXY,Y
582,A202204241257499p081429,,A202204241257499p081429,,,,194.45794460422505,8.241485295874512,,,,N
583,T202302171257537p053649,,,,T202302171257537p053649,,194.47354632084287,5.613508571767249,,,,N
584,C202206081258190p063917,,C202206081258190p063917,,,,194.5792921126183,6.654756534008098,,,,N
585,T202204211258196p052351,,T202204211258196p052351,,,,194.58181019468137,5.397547866687802,0.2523639367492058,1.414392584938729e-05,GALAXY,Y
586,A202302171258206p064940,,,,A202302171258206p064940,,194.58589998252023,6.827851505733336,0.5298663542845579,7.298872750285391e-05,GALAXY,Y
587,A202204301258212p080821,,A202204301258212p080821,,,,194.588236800118,8.139246533332281,0.335003297562427,2.059512321249224e-05,GALAXY,Y
588,A202204241258364p063416,,A202204241258364p063416,,,,194.65165495148185,6.5709736575701685,,,,N
589,T202302171258543p064617,,,,T202302171258543p064617,,194.72639792969804,6.771422209881368,,,,N
590,T202204241258570p063756,,T202204241258570p063756,,,,194.73748107424765,6.632135840183669,,,,N
591,T202204211259012p074327,,T202204211259012p074327,,,,194.755091554258,7.724119779187491,0.20517306484888917,1.930691491110016e-05,GALAXY,Y
592,A202401071259041p053121,,A202401071259041p053121,,,,194.76715030213649,5.522453697353625,0.7676543029322708,0.00021585147022949933,QSO,Y
593,T202302261259045p053355,,,,T202302261259045p053355,,194.7688607387665,5.565376775343183,,,,N
594,C202305121259299p072615,,,,C202305121259299p072615,,194.8743763229864,7.437472189375707,,,,N
595,A202204241259347p074805,,A202204241259347p074805,,,,194.8947655802484,7.801334128783089,,,,N
596,A202204211259373p053653,,A202204211259373p053653,,,,194.90532218367431,5.61463795998254,,,,N
597,C202204211259402p081139,,C202204211259402p081139,,,,194.9173824781249,8.194187222117156,0.6356941563166327,8.963336605219926e-06,QSO,Y
598,C202303221259428p061954,,,,C202303221259428p061954,,194.92852021159743,6.331552115537562,0.22347355852998105,5.939316905400934e-06,GALAXY,Y
599,T202302171300006p070354,,,,T202302171300006p070354,,195.0027071564786,7.064992849304504,,,,N
600,C202303161300049p064851,,,,C202303161300049p064851,,195.0205721335479,6.814063127004808,,,,N
601,T202305121300101p080923,,,,T202305121300101p080923,,195.0420561380061,8.156278919457701,0.15200249273340483,9.307223725227667e-06,GALAXY,Y
602,A202204211300223p062133,,A202204211300223p062133,,,,195.0929845796316,6.359244964524003,0.6765007769146354,6.039000482070218e-05,GALAXY,Y
603,C202302081300240p072206,,,,C202302081300240p072206,,195.0999541897327,7.36836030570498,0.13630286314076678,5.021663336979463e-06,GALAXY,Y
604,T202204211300335p075315,,T202204211300335p075315,,,,195.1396716902514,7.887555642286985,,,,N
605,C202206081300385p071522,,C202206081300385p071522,,,,195.1605388321076,7.255998534097529,,,,N
606,T202302081300430p081807,,,,T202302081300430p081807,,195.1789741266901,8.302043199249793,0.046650764941983856,2.69529019902778e-06,GALAXY,Y
607,C202401071300492p081323,,C202401071300492p081323,,,,195.20510704364085,8.223125430741764,,,,N
608,T202303161300546p062359,,,,T202303161300546p062359,,195.2276443823027,6.399704265261331,0.33170506130812477,2.195648057792878e-05,GALAXY,Y
609,T202204211300576p070235,,T202204211300576p070235,,,,195.2400053422649,7.043097465711597,0.06198061520024922,3.2047784736142217e-06,GALAXY,Y
610,T202302171301123p064804,,,,T202302171301123p064804,,195.3011905034529,6.801146977584375,,,,N
611,T202207011301149p064316,,T202207011301149p064316,,,,195.31222280685853,6.72099583207272,,,,N
612,C202204241301211p064222,,C202204241301211p064222,,,,195.33791767578103,6.706110920277591,,,,N
613,A202204211301228p080441,,A202204211301228p080441,,,,195.3450861699483,8.078167089964804,0.8514399989119761,5.385150356342082e-05,GALAXY,Y
614,T202303221301298p052714,,,,T202303221301298p052714,,195.3741871417477,5.453893341000113,,,,N
615,A202302171301303p075349,,,,A202302171301303p075349,,195.37624356672063,7.896961783710591,0.7938311580760317,0.00013205995615294547,QSO,Y
616,T202206081301386p072523,,T202206081301386p072523,,,,195.41065748642163,7.423091986042238,,,,N
617,T202401011301394p062605,,T202401011301394p062605,,,,195.41411720467744,6.434771355802313,,,,N
618,T202204211301423p063456,,T202204211301423p063456,,,,195.42619899579392,6.5823115835847,0.17147775057464734,8.845233329583181e-06,GALAXY,Y
619,C202305121301428p071531,,,,C202305121301428p071531,,195.42842313455083,7.258575798144657,,,,N
620,A202204241301445p065439,,A202204241301445p065439,,,,195.43553762299285,6.910927913923088,,,,N
621,A202204211301481p053933,,A202204211301481p053933,,,,195.45033676377253,5.65921845160585,,,,N
622,T202204211301485p061149,,T202204211301485p061149,,,,195.4520411284052,6.1969913207072045,,,,N
623,T202303011301498p050324,,,,T202303011301498p050324,,195.4573670095133,5.056739403615057,,,,N
624,C202305121301552p051819,,,,C202305121301552p051819,,195.48012444585788,5.305394195767851,,,,N
625,T202401011302031p071956,,T202401011302031p071956,,,,195.5128813058802,7.33235280363581,,,,N
626,C202205091302039p073146,,C202205091302039p073146,,,,195.5163987415068,7.529466846395957,,,,N
627,C202204241302122p071409,,C202204241302122p071409,,,,195.550855258638,7.235918209604938,,,,N
628,A202205061302262p074310,,A202205061302262p074310,,,,195.60896302031952,7.719422380743151,,,,N
629,C202207011302284p070853,,C202207011302284p070853,,,,195.6184737053448,7.1479404004918665,0.2104559839146502,1.2706992792687871e-05,GALAXY,Y
630,C202302261302299p061860,,,,C202302261302299p061860,,195.6245708221874,6.316556214689478,,,,N
631,C202302081302406p054715,,,,C202302081302406p054715,,195.66924912169023,5.787585702388035,0.7768514741863108,0.00011991720721039623,GALAXY,Y
632,T202207011302530p063655,,T202207011302530p063655,,,,195.72086569033897,6.615405606636803,0.28587337653584166,9.674691654645348e-05,GALAXY,Y
633,T202204211302561p052854,,T202204211302561p052854,,,,195.7337222608849,5.481551917602418,,,,N
634,T202303221302574p074049,,,,T202303221302574p074049,,195.7391447057892,7.680300839849519,0.07049004731080939,3.2367548539927244e-06,GALAXY,Y
635,A202204211302584p060132,,A202204211302584p060132,,,,195.7432795123794,6.02566502806135,,,,N
636,C202302171303167p060823,,,,C202302171303167p060823,,195.8196081307346,6.139624159358423,0.6675666652766448,6.38195613361142e-05,QSO,Y
637,C202204301303303p071741,,C202204301303303p071741,,,,195.87634506748304,7.294720402865425,,,,N
638,T202401011303348p075543,,T202401011303348p075543,,,,195.8951110847296,7.928564989818074,,,,N
639,C202205181303367p051040,,C202205181303367p051040,,,,195.9030067283514,5.17789238982967,0.14030185275642415,2.9345475390938198e-05,GALAXY,Y
640,T202302171303378p051358,,,,T202302171303378p051358,,195.9073817216567,5.232664948957134,0.2900300951104743,1.9604010339325564e-05,GALAXY,Y
641,C202204211303383p064949,,C202204211303383p064949,,,,195.90950402551144,6.830142301379027,,,,N
642,C202401011303422p053340,,C202401011303422p053340,,,,195.92603604839147,5.561079725689076,0.3608878325716929,3.313602103707892e-05,QSO,Y
643,T202401071303559p073603,,T202401071303559p073603,,,,195.98280916325925,7.600908378350565,,,,N
644,C202205091304053p074337,,C202205091304053p074337,,,,196.0221416488952,7.726912377870378,0.35104085618747843,1.0923696080145774e-05,GALAXY,Y
645,T202401271304313p075139,,T202401271304313p075139,,,,196.1302999019537,7.860796540808206,0.04938039168419745,5.735102128025228e-06,GALAXY,Y
646,T202302171304468p080123,,,,T202302171304468p080123,,196.19483673653232,8.023051008666513,,,,N
647,A202302081304492p063059,,,,A202302081304492p063059,,196.20488843923567,6.516437856115355,,,,N
648,A202304121304501p052227,,,,A202304121304501p052227,,196.2086151388726,5.374112284411251,,,,N
649,A202401011304587p073044,,A202401011304587p073044,,,,196.2447002769413,7.512165680264761,,,,N
650,A202302081305047p064027,,,,A202302081305047p064027,,196.26947872448903,6.674064983753206,,,,N
651,C202205241305175p060903,,C202205241305175p060903,,,,196.3228003921629,6.150699262081284,,,,N
652,C202302261305195p065146,,,,C202302261305195p065146,,196.33120403473785,6.862674589853544,,,,N
653,T202205211305203p064304,,T202205211305203p064304,,,,196.33476228748285,6.7178024583251945,,,,N
654,C202401011305230p054105,,C202401011305230p054105,,,,196.34571492834857,5.684851094357198,,,,N
655,A202204211305426p070938,,A202204211305426p070938,,,,196.4275430649749,7.160417536960438,0.06218297408818709,2.0029831696204846e-06,GALAXY,Y
656,A202205091305569p061704,,A202205091305569p061704,,,,196.4871395031201,6.284312645521529,0.10415953278546815,3.125175248926753e-06,GALAXY,Y
657,T202206081306031p073609,,T202206081306031p073609,,,,196.51283806815755,7.602405636813402,0.06225552307665945,1.6738848176708157e-05,GALAXY,Y
658,T202205031306031p060846,,T202205031306031p060846,,,,196.5129108972661,6.146014211102207,0.09144140961326773,6.85066516587561e-05,GALAXY,Y
659,C202205181306303p061030,,C202205181306303p061030,,,,196.62634008137988,6.175033563401301,,,,N
