21A,22A,22B,23A,23B,ra_obj,dec_obj
,,A202209140001185m011901,,A202308030001185m011901,0.3270312927643342,-1.3169640616061957
,,,,C202308040001238m005106,0.34906244804636355,-0.8517395519584798
,,C202209140001255m010231,,,0.35616392905119665,-1.042074895870842
,,C202209140001258m003015,,T202308250001258m003014,0.3576250838345091,-0.5040379639917494
,,A202209090001267m011134,,A202308040001267m011134,0.3613020676378641,-1.192784076623692
,,C202210290001280m010812,,C202308040001280m010812,0.36654723293921826,-1.1367204140851053
,,A202209140001323m011838,,,0.3846530694207444,-1.3106641968791055
,,C202209140001337m011225,,C202308030001337m011225,0.3905158412602641,-1.2068361507356373
,,C202209140001359m011507,,C202308040001359m011507,0.39963720866119745,-1.2519690032370412
,,A202210290001401m004433,,,0.4168905258085198,-0.7426279690875136
,,T202209140001425m004949,,T202308030001425m004949,0.42722025070727276,-0.8303646412429943
,,A202209140001429m003828,,A202308040001429m003828,0.42860023800287017,-0.6411162981804777
,,C202307200001452m012150,,,0.43840100911876,-1.3638920418764502
,,T202209090001498m005925,,T202308250001498m005925,0.4574741653930837,-0.9903253284352096
,,,,T202308040001498m005927,0.4576391067773947,-0.9908002466151786
,,T202209090001499m005925,,,0.457991611869277,-0.9902025484055734
,,C202210110001512m003930,,,0.4632242524495589,-0.6584602707289443
,,,,T202310120001526m003216,0.4689641442730294,-0.5378637359559308
,,A202210110001526m012154,,C202308040001526m012154,0.46916838754773704,-1.3650743906856486
,,C202210200001564m011811,,,0.4849228429062357,-1.3030644516721352
,,A202210060001588m012423,,C202308030001587m012423,0.4947364971568198,-1.4064143717287312
,,,,C202308040002009m005511,0.5035928668622272,-0.9197687678397518
,,T202209140002042m010658,,T202308030002042m010658,0.5173590952795333,-1.116116724802997
,,C202210060002077m005449,,,0.5322666815418576,-0.9136055169792054
,,,,C202308030002081m012632,0.5336243976803267,-1.4423005654030878
,,C202209140002101m010526,,,0.5422766342072463,-1.0906250135289073
,,A202210200002107m005827,,,0.5447023941427673,-0.9742381613672371
,,C202209090002163m011045,,C202308030002164m011045,0.5681751783416478,-1.1791953499571906
,,A202209090002179m011247,,A202308030002179m011247,0.5745388968372112,-1.2130532696188463
,,T202210110002196m013433,,,0.5814939502679537,-1.5757696465586937
,,C202210110002196m010052,,,0.5817570478724315,-1.014411245607885
,,,,T202309090002206m003447,0.585670676865865,-0.5796713867257873
,,C202209140002212m004456,,C202308040002212m004456,0.5881956006263456,-0.7489516295362565
,,,,C202308040002224m003554,0.5931860075818829,-0.598286639321791
,,,,C202308040002224m010925,0.5935245201043148,-1.1570194398233593
,,C202209140002256m013329,,,0.6065626282998311,-1.5579973733042425
