STANDARD_NAME,21A,22A,22B,23A,23B,ra_obj,dec_obj
T202307142216554m040054,,,,T202307142216554m040054,T202308072216554m040054,334.23069398011774,-4.015005478326273
T202303221302574p074049,,,,T202303221302574p074049,,195.7391447057892,7.680300839849519
T202304031253194p070254,,,,T202304031253194p070254,,193.331015618521,7.048381292781513
C202307142218427m035000,,,,C202307142218427m035000,A202308072218427m035001,334.67807467472056,-3.8334757779389785
T202307260208165m004318,,,,T202307260208165m004318,T202308020208165m004318,32.06876150607881,-0.7215669296212159
C202308220259022m141055,,,,,C202308220259022m141055,44.75924710626193,-14.181899698007552
T202308132214058p002103,,,,,T202308132214058p002103,333.524356403368,0.3507250816962577
T202311050342128m170137,,,,,T202311050342128m170137,55.553281161782074,-17.026983807838082
C202312110328117m163109,,,,,C202312110328117m163109,52.04866133510495,-16.519072907160588
C202311110330256m162111,,,,,C202311110330256m162111,52.60650002964306,-16.353180846027172
T202311110149056m145912,,,,,T202311110149056m145912,27.273273150591546,-14.986789336240125
C202312020302107m141103,,,,,C202312020302107m141103,45.544401233191614,-14.184255783691313
T202311050139256m155411,,,,,T202311050139256m155411,24.856659776390014,-15.903143421111801
T202311050211126m145234,,,,,T202311050211126m145234,32.8024343869224,-14.876085181973329
C202311140304196m142210,,,,,C202311140304196m142210,46.08186318744863,-14.369493381419373
T202311050214528m152405,,,,,T202311050214528m152405,33.71985681301474,-15.401375400773542
