STANDARD_NAME,SEMESTER_NAME,SCIENCE_NAME,TEMPLATE_NAME,MJD_OBS,FILTER,DETPOS,X_OBJ,Y_OBJ,X_FPHOT,Y_FPHOT,X_nSTAR,Y_nSTAR,X_nGAL,Y_nGAL,X_ALT,Y_ALT,MAG_ALT,MAGERR_ALT,SNR_ALT,CNNSCORE_ALT,ZMIN_TEMP,ZMAX_TEMP,ZMIN_SCI,ZMAX_SCI,ZMIN_DIFF,ZMAX_DIFF,APER_FPHOT,ZP_FPHOT,LIM_MAG3,LIM_MAG5,MAG_FPHOT,MAGERR_FPHOT,SNR_FPHOT,STATUS_FPHOT,REAL,LIMIT
C202212190343016m164040,C202212190343016m164040,b'c4d_220914_092857_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59836.39511428,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-127.37904,240.65498024711246,-151.12994985084217,151.12994985084217,5.17,29.049501,22.429793086360952,21.875171212320062,23.838405269021685,1.0290109875415285,1.0550907746805607,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221006_065011_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59858.28485615,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-81.3585,126.4323155289859,-123.02993775077164,123.02993775077164,8.35,29.481625,22.359445123327074,21.80482324928618,24.170018260271682,1.2868948727855591,0.8436586569421471,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221006_070449_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59858.29501414,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-28.415112,58.21879978411679,-62.56893500156142,62.56893500156142,7.42,28.91064,22.97201515619672,22.417393282155828,23.047963338038628,0.3382239236044165,3.2100035634079647,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_221010_060239_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59862.25184929,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-196.78315667043256,197.9372656463724,-204.68956740611097,204.68956740611097,5.69,29.506512,22.442355983857112,21.887734109816222,22.418441081662074,0.2753763729754869,3.942604037771409,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_221010_062142_xxx_i_v1',b'c4d_141029_084137_xxx_i_v1',59862.26507651,b'i',b'N6',573.1335265892085,1291.4783824947242,572.8319628341353,1291.0345833787271,567.4309032791638,1261.531785262935,575.013026310628,1292.1301454248046,,,,,,,-58.764587,95.24912601520512,-112.07749,187.00511468982785,-182.5572275279077,182.5572275279077,5.43,29.547375,22.72802820292941,22.173406328888518,22.817287552228333,0.33620383884787575,3.229290907922243,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_221010_063544_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59862.27482131,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-84.46804,140.91618167296016,-108.09370312897734,108.09370312897734,5.6,29.404755,22.77026209523885,22.215640221197955,24.991382848623367,1.7172893910770803,0.6322172638119259,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221011_060055_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59863.25063727,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-104.070366,203.34698682812038,-139.12595419731568,139.12595419731568,5.17,29.049501,22.668410364743956,22.113788490703065,22.85749369557925,0.38107450348545785,2.849049175606763,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221011_061952_xxx_i_v1',b'c4d_141029_084137_xxx_i_v1',59863.2637991,b'i',b'N6',573.1335265892085,1291.4783824947242,572.8319628341353,1291.0345833787271,567.4309032791638,1261.531785262935,575.013026310628,1292.1301454248046,,,,,,,-58.764587,95.24912601520512,-91.622635,165.79388612796075,-168.23369211888536,168.23369211888536,8.48,29.746944,22.46922536210147,21.91460348806058,23.177842688859368,0.5391527324812035,2.0137151025898783,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221017_080230_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59869.33507392,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-118.37053532208667,119.09255605848057,-131.59353770688506,131.59353770688506,5.17,29.049501,22.82772701302578,22.27310513898489,23.354383048705095,0.5885338242329818,1.844753785247534,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221020_071233_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59872.30038218,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-20.53467,37.927213450618986,-38.19997629040915,38.19997629040915,6.62,28.926855,23.473014055082363,22.918392181041472,23.87212549419593,0.40864613054652615,2.6568219269517552,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221026_071722_xxx_z_v1',b'c4d_140915_085555_xxx_z_a1',59878.30373336,b'z',b'N6',597.2100027557246,1282.9642918157945,596.9084742062626,1282.5203971890471,591.5089856849742,1253.0144222697982,599.0893752662719,1283.616506686667,,,,,,,-63.326782,124.70442227856698,-69.80028,105.20642434727606,-103.9595567424345,103.9595567424345,9.18,29.090504,22.210709807332194,21.656087933291303,23.40722617954364,0.8404778029598416,1.2917652270846174,b'm',False,True
C202212190343016m164040,C202212190343016m164040,b'c4d_221029_072409_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59881.30844444,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-25.373568,49.0110932222871,-60.73626859279592,60.73626859279592,5.6,29.404755,23.762036258092543,23.207414384051653,23.791946341198667,0.3192033278527526,3.4012803290723514,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_221104_051047_xxx_z_v1',b'c4d_140915_085555_xxx_z_ls9',59887.21582718,b'z',b'N6',597.0241343434991,1282.3913133253045,596.7225959157132,1281.9474389566396,591.3227957675385,1252.4426757803917,598.9035551488054,1283.043485334401,,,,,,,-77.45032,127.66111359964329,-71.585,147.49053036411078,-127.82347340920109,127.82347340920109,5.17,29.049501,22.795616533229985,22.240994659189095,22.6613841441725,0.3054598637955005,3.5543131150181333,b'q',True,False
C202212190343016m164040,C202212190343016m164040,b'c4d_221104_052732_xxx_r_v1',b'c4d_141128_065808_xxx_r_v1',59887.22746454,b'r',b'N6',559.5785117815898,1295.48169918929,559.2768554687731,1295.0379638671932,553.8698917040804,1265.536356615293,561.4581716268136,1296.1330700909787,,,,,,,-33.227356,59.48691649239914,-35.84595,78.97393627308705,-36.95395,36.95395,5.6,29.404755,23.62219684976311,23.06757497572222,24.484485939206245,0.590626995578575,1.838216011336316,b'm',False,True
