,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
441,C202401011239468p062920,,C202401011239468p062920,,,,189.9451686441828,6.48875036668719,1.5228621948733871,0.0007687254945298387,QSO,Y
442,T202204211239329p072951,,T202204211239329p072951,,,,189.88727790748115,7.497519137313891,,,,N
443,T202302171239206p072024,,,,T202302171239206p072024,,189.83587366643212,7.340099180066573,0.27513179052737824,5.823912004498652e-05,GALAXY,Y
444,C202303011238152p073349,,,,C202303011238152p073349,,189.5633704801372,7.563693876281843,0.28119163364855965,4.8225398874226705e-05,GALAXY,Y
445,C202302081238129p053755,,,,C202302081238129p053755,,189.55366656743087,5.63197276801857,0.7159343475101675,7.137643269354483e-05,QSO,Y
446,T202205091237225p080121,,T202205091237225p080121,,,,189.3437792964945,8.022473695481759,,,,N
447,T202204211237064p073304,,T202204211237064p073304,,,,189.2766468147378,7.551068442514311,,,,N
448,C202204241235496p073421,,C202204241235496p073421,,,,188.9567038462997,7.572586964110965,,,,N
449,T202204211235479p070629,,T202204211235479p070629,,,,188.94976866620567,7.108149046241787,,,,N
450,C202204211235167p065332,,C202204211235167p065332,,,,188.8195671726049,6.8923284072209725,0.5087193791846806,6.1068869245506234e-06,GALAXY,Y
451,T202302171233461p064158,,,,T202302171233461p064158,,188.442175517264,6.699440041188158,,,,N
452,T202302021118130m073357,,,,T202302021118130m073357,,169.55425572226218,-7.565699541665927,,,,N
453,C202301091117006m074426,,,C202301091117006m074426,,,169.25246437414475,-7.740560921169076,0.17571927942475637,1.0314987376714217e-05,GALAXY,Y
454,T202302141116246m061929,,,,T202302141116246m061929,,169.10243584833745,-6.3246731082955705,0.3608045561744107,5.386135273039619e-05,GALAXY,Y
455,C202302111115369m065206,,,,C202302111115369m065206,,168.90366468657703,-6.868257237061338,0.2885433969025138,9.883122074093287e-05,GALAXY,Y
456,T202212251114265m071556,,,T202212251114265m071556,T202302021114265m071555,,168.6103756123104,-7.265407661158127,,,,N
457,C202303011114239m065655,,,,C202303011114239m065655,,168.59969223924432,-6.948623747346537,,,,N
458,A202301241114216m055959,,,A202301241114216m055959,C202302021114216m055959,,168.5898495514041,-5.999780613580226,,,,N
459,T202212251113110m064110,,,T202212251113110m064110,,,168.2956925331073,-6.686235943714059,,,,N
460,C202303221112325m054845,,,,C202303221112325m054845,,168.13535918805186,-5.812452127971825,,,,N
461,A202212191112192m054945,,,A202212191112192m054945,A202302021112192m054945,,168.0801696751517,-5.8291485355490655,,,,N
462,T202303311111387m063204,,,,T202303311111387m063204,,167.9111634656609,-6.53433016165144,,,,N
463,C202301091111336m053511,,,C202301091111336m053511,,,167.88988870876142,-5.586385704544856,,,,N
